AGI_identifier	gene_name	gene_annotation
AT3G60710	AT3G60710	NA
AT3G60720	AT3G60720:CRRSP15	PDLP8:plasmodesmata-located protein 8
AT3G60730	AT3G60730:PME36	NA
AT3G60740	AT3G60740:TFCD	CHO:CHAMPIGNON;EMB133:EMBRYO DEFECTIVE 133;TFC D:TUBULIN FOLDING COFACTOR D;TTN1:TITAN 1
AT3G60750	AT3G60750:TKL-1	NA
AT3G60760	AT3G60760	NA
AT3G60770	AT3G60770:RPS13A	NA
AT3G60780	AT3G60780	NA
AT3G60790	AT3G60790	NA
AT3G60800	AT3G60800:PAT14	NA
AT3G60810	AT3G60810	NA
AT3G60820	AT3G60820:PBF1	PBF1
AT3G60830	AT3G60830:ARP7	ARP7;ARP7:actin-related protein 7;ATARP7:actin-related protein 7
AT3G60840	AT3G60840:MAP65-4	MAP65-4:microtubule-associated protein 65-4
AT3G60850	AT3G60850	NA
AT3G60860	AT3G60860:BIG2	NA
AT3G60870	AT3G60870:AHL18	AHL18:AT-hook motif nuclear-localized protein 18
AT3G60880	AT3G60880:DHDPS1	DHDPS:DIHYDRODIPICOLINATE SYNTHASE;DHDPS1:dihydrodipicolinate synthase 1
AT3G60890	AT3G60890:ZPR2	ZPR2:LITTLE ZIPPER 2
AT3G60897	AT3G60897	NA
AT3G60900	AT3G60900:FLA10	FLA10:FASCICLIN-like arabinogalactan-protein 10
AT3G60910	AT3G60910	NA
AT3G60920	AT3G60920	NA
AT3G60940	AT3G60940	NA
AT3G60950	AT3G60950	NA
AT3G60960	AT3G60960	NA
AT3G60961	AT3G60961	NA
AT3G60966	AT3G60966	NA
AT3G60970	AT3G60970:ABCC15	ABCC15:ATP-binding cassette C15;ATMRP15:multidrug resistance-associated protein 15;MRP15:multidrug resistance-associated protein 15
AT3G60980	AT3G60980	NA
AT3G60990	AT3G60990	NA
AT3G61010	AT3G61010	NA
AT3G61028	AT3G61028	NA
AT3G61030	AT3G61030	NA
AT3G61035	AT3G61035	NA
AT3G61040	AT3G61040:CYP76C7	"CYP76C7:""cytochrome P450, family 76, subfamily C, polypeptide 7"""
AT3G61050	AT3G61050:NTMC2TYPE4	AtCLB:calcium-dependent lipid-binding protein;NTMC2T4;NTMC2TYPE4
AT3G61060	AT3G61060:PP2A13	AtPP2-A13:phloem protein 2-A13;PP2-A13:phloem protein 2-A13
AT3G61070	AT3G61070:PEX11E	PEX11E:peroxin 11E
AT3G61080	AT3G61080	NA
AT3G61090	AT3G61090	NA
AT3G61100	AT3G61100	NA
AT3G61110	AT3G61110:RPS27B	ARS27A:ribosomal protein S27;RS27A:ribosomal protein S27
AT3G61111	AT3G61111	NA
AT3G61113	AT3G61113:URM1-2	NA
AT3G61117	AT3G61117	NA
AT3G61120	AT3G61120:AGL13	AGL13:AGAMOUS-like 13
AT3G61130	AT3G61130:GAUT1	GAUT1:galacturonosyltransferase 1;LGT1
AT3G61140	AT3G61140:CSN1	AtCSN1;ATFUS6:ARABIDOPSIS THALIANA FUSCA 6;ATSK31:SHAGGY-LIKE KINASE 31;COP11:CONSTITUTIVE PHOTOMORPHOGENIC 11;CSN1:COP9 SIGNALOSOME SUBUNIT 1;EMB78:EMBRYO DEFECTIVE 78;FUS6:FUSCA 6;SK31:SHAGGY-LIKE KINASE 31
AT3G61150	AT3G61150:HDG1	HD-GL2-1:HOMEODOMAIN-GLABRA2 1;HDG1:homeodomain GLABROUS 1
AT3G61160	AT3G61160:ASK2	NA
AT3G61170	AT3G61170	NA
AT3G61172	AT3G61172:LCR8	LCR8:low-molecular-weight cysteine-rich 8
AT3G61175	AT3G61175:LCR52	LCR52:low-molecular-weight cysteine-rich 52
AT3G61177	AT3G61177:LCR53	LCR53:low-molecular-weight cysteine-rich 53
AT3G61180	AT3G61180	NA
AT3G61182	AT3G61182:LCR54	LCR54:low-molecular-weight cysteine-rich 54
AT3G61190	AT3G61190:BAP1	BAP1:BON association protein 1
AT3G61200	AT3G61200	NA
AT3G61210	AT3G61210	NA
AT3G61220	AT3G61220:SDR1	SDR1:short-chain dehydrogenase/reductase 1
AT3G61230	AT3G61230:PLIM2C	PLIM2c:PLIM2c
AT3G61240	AT3G61240:RH12	NA
AT3G61250	AT3G61250:AtMYB17	AtMYB17:myb domain protein 17;LMI2:LATE MERISTEM IDENTITY2;MYB17:myb domain protein 17
AT3G61260	AT3G61260	NA
AT3G61270	AT3G61270	NA
AT3G61280	AT3G61280	NA
AT3G61290	AT3G61290	NA
AT3G61300	AT3G61300	NA
AT3G61310	AT3G61310:AHL11	NA
AT3G61320	AT3G61320	NA
AT3G61340	AT3G61340	NA
AT3G61350	AT3G61350:SKIP4	SKIP4:SKP1 interacting partner 4
AT3G61360	AT3G61360	NA
AT3G61370	AT3G61370	NA
AT3G61380	AT3G61380	TRM14:TON1 Recruiting Motif 14
AT3G61389	AT3G61389	NA
AT3G61390	AT3G61390:PUB36	NA
AT3G61400	AT3G61400	NA
AT3G61410	AT3G61410	NA
AT3G61415	AT3G61415:ASK21	ASK21:SKP1-like 21;SK21:SKP1-like 21
AT3G61420	AT3G61420:TFB1-3	NA
AT3G61430	AT3G61430:PIP1-1	ATPIP1:ARABIDOPSIS THALIANA PLASMA MEMBRANE INTRINSIC PROTEIN 1;PIP1:PLASMA MEMBRANE INTRINSIC PROTEIN 1;PIP1;1:PLASMA MEMBRANE INTRINSIC PROTEIN 1;1;PIP1A:plasma membrane intrinsic protein 1A
AT3G61440	AT3G61440:CYSC1	ARATH;BSAS3;1:BETA-SUBSTITUTED ALA SYNTHASE 3;1;ATCYSC1:CYSTEINE SYNTHASE C1;CYSC1:cysteine synthase C1
AT3G61450	AT3G61450:SYP73	ATSYP73;SYP73:syntaxin of plants 73
AT3G61460	AT3G61460:BRH1	BRH1:brassinosteroid-responsive RING-H2
AT3G61470	AT3G61470:LHCA2	LHCA2:photosystem I light harvesting complex gene 2
AT3G61480	AT3G61480	NA
AT3G61490	AT3G61490	NA
AT3G61500	AT3G61500	NA
AT3G61510	AT3G61510:ACS1	ACS1:ACC synthase 1;AT-ACS1:ARABIDOPSIS THALIANA 1-AMINOCYCLOPROPANE-1-CARBOXYLATE SYNTHASE 1
AT3G61520	AT3G61520	NA
AT3G61530	AT3G61530:KPHMT2	PANB2
AT3G61540	AT3G61540	NA
AT3G61550	AT3G61550:ATL68	NA
AT3G61560	AT3G61560:RTNLB6	NA
AT3G61570	AT3G61570:GC3	GC3:GOLGIN CANDIDATE 3;GDAP1:GRIP-related ARF-binding domain-containing protein 1
AT3G61571	AT3G61571	NA
AT3G61580	AT3G61580:SLD1	AtSLD1;SLD1:sphingoid LCB desaturase 1
AT3G61590	AT3G61590:HWS	HS;HWS:HAWAIIAN SKIRT
AT3G61600	AT3G61600:POB1	ATPOB1:POZ/BTB containin G-protein 1;LRB2:light-response BTB 2;POB1:POZ/BTB containin G-protein 1
AT3G61610	AT3G61610	NA
AT3G61620	AT3G61620:RRP41	RRP41
AT3G61630	AT3G61630:CRF6	CRF6:cytokinin response factor 6
AT3G61640	AT3G61640:AGP20	AGP20:arabinogalactan protein 20;AtAGP20:Arabinogalactan protein 20
AT3G61650	AT3G61650:TUBG1	TUBG1:gamma-tubulin
AT3G61660	AT3G61660	NA
AT3G61670	AT3G61670	NA
AT3G61678	AT3G61678	NA
AT3G61680	AT3G61680	NA
AT3G61690	AT3G61690	NA
AT3G61700	AT3G61700	NA
AT3G61710	AT3G61710:BECLIN1	ATATG6;AtBECLIN1;ATG6:AUTOPHAGY 6;BECLIN1:BECLIN1
AT3G61720	AT3G61720	NA
AT3G61723	AT3G61723	NA
AT3G61730	AT3G61730:RMF	RMF:REDUCED MALE FERTILITY
AT3G61740	AT3G61740:ATX3	ATX3;SDG14:SET domain protein 14
AT3G61750	AT3G61750	NA
AT3G61760	AT3G61760:DRP1B	ADL1B:DYNAMIN-like 1B;DL1B:DYNAMIN-like 1B
AT3G61763	AT3G61763	NA
AT3G61770	AT3G61770	NA
AT3G61780	AT3G61780:emb1703	emb1703:embryo defective 1703
AT3G61790	AT3G61790:SINAT3	NA
AT3G61800	AT3G61800	NA
AT3G61810	AT3G61810	NA
AT3G61820	AT3G61820	NA
AT3G61826	AT3G61826	NA
AT3G61827	AT3G61827	NA
AT3G61829	AT3G61829	NA
AT3G61830	AT3G61830:ARF18	ARF18:auxin response factor 18
AT3G61840	AT3G61840	NA
AT3G61850	AT3G61850:DOF3.7	DAG1:dof affecting germination 1
AT3G61860	AT3G61860:RS31	At-RS31:arginine/serine-rich splicing factor 31;ATRSP31:arginine/serine-rich splicing factor 31;RS31:arginine/serine-rich splicing factor 31;RSP31:arginine/serine-rich splicing factor 31
AT3G61870	AT3G61870	NA
AT3G61880	AT3G61880:CYP78A9	CYP78A9:cytochrome p450 78a9
AT3G61890	AT3G61890:ATHB-12	ATHB-12:homeobox 12;ATHB12:ARABIDOPSIS THALIANA HOMEOBOX 12;HB-12:homeobox 12
AT3G61898	AT3G61898	NA
AT3G61900	AT3G61900	NA
AT3G61910	AT3G61910:NAC066	ANAC066:NAC domain protein 66;NAC066:NAC domain protein 66;NST2:NAC  SECONDARY WALL THICKENING PROMOTING FACTOR2
AT3G61920	AT3G61920	NA
AT3G61930	AT3G61930	NA
AT3G61940	AT3G61940:MTPA1	ATMTPA1;MTPA1
AT3G61947	AT3G61947	NA
AT3G61950	AT3G61950:BHLH67	NA
AT3G61960	AT3G61960	NA
AT3G61962	AT3G61962	NA
AT3G61970	AT3G61970:NGA2	NGA2:NGATHA2
AT3G61980	AT3G61980	NA
AT3G61990	AT3G61990:OMTF3	OMTF3:O-MTase family 3 protein
AT3G62000	AT3G62000	NA
AT3G62010	AT3G62010	NA
AT3G62020	AT3G62020:GLP10	GLP10:germin-like protein 10
AT3G62030	AT3G62030:CYP20-3	CYP20-3:cyclophilin 20-3;ROC4:rotamase CYP 4
AT3G62040	AT3G62040	NA
AT3G62050	AT3G62050	NA
AT3G62060	AT3G62060:PAE6	NA
AT3G62070	AT3G62070	NA
AT3G62080	AT3G62080	NA
AT3G62090	AT3G62090:PIF6	PIF6:PHYTOCHROME-INTERACTING FACTOR 6;PIL2:phytochrome interacting factor 3-like 2
AT3G62097	AT3G62097	NA
AT3G62100	AT3G62100:IAA30	IAA30:indole-3-acetic acid inducible 30
AT3G62110	AT3G62110	NA
AT3G62120	AT3G62120	NA
AT3G62130	AT3G62130:LCD	AtLCD;LCD:L-cysteine desulfhydrase
AT3G62140	AT3G62140	NA
AT3G62150	AT3G62150:ABCB21	ABCB21:ATP-binding cassette B21;PGP21:P-glycoprotein 21
AT3G62160	AT3G62160	NA
AT3G62170	AT3G62170:VGDH2	VGDH2:VANGUARD 1 homolog 2
AT3G62180	AT3G62180	NA
AT3G62190	AT3G62190	NA
AT3G62200	AT3G62200	NA
AT3G62210	AT3G62210:EDA32	EDA32:embryo sac development arrest 32
AT3G62220	AT3G62220	NA
AT3G62230	AT3G62230	DAF1:DUO1-activated F-box 1
AT3G62240	AT3G62240	NA
AT3G62250	AT3G62250:RPS27AC	UBQ5:ubiquitin 5
AT3G62260	AT3G62260	NA
AT3G62270	AT3G62270:BOR2	NA
AT3G62280	AT3G62280	NA
AT3G62290	AT3G62290:ARFA1E	ARFA1E:ADP-ribosylation factor A1E;ATARFA1E:ADP-ribosylation factor A1E
AT3G62300	AT3G62300:DUF7	ATDUF7:DOMAIN OF UNKNOWN FUNCTION 724 7;DUF7:DOMAIN OF UNKNOWN FUNCTION 724 7
AT3G62310	AT3G62310	NA
AT3G62320	AT3G62320	NA
AT3G62330	AT3G62330	NA
AT3G62336	AT3G62336	NA
AT3G62340	AT3G62340:WRKY68	AtWRKY68;WRKY68
AT3G62350	AT3G62350	NA
AT3G62360	AT3G62360	NA
AT3G62370	AT3G62370	NA
AT3G62380	AT3G62380	NA
AT3G62390	AT3G62390:TBL6	TBL6:TRICHOME BIREFRINGENCE-LIKE 6
AT3G62400	AT3G62400	NA
AT3G62410	AT3G62410:CP12-2	CP12:CP12 DOMAIN-CONTAINING PROTEIN 1;CP12-2:CP12 domain-containing protein 2
AT3G62420	AT3G62420:ATBZIP53	ATBZIP53:basic region/leucine zipper motif 53;BZIP53:basic region/leucine zipper motif 53
AT3G62422	AT3G62422:CPuORF3	CPuORF3:conserved peptide upstream open reading frame 3
AT3G62430	AT3G62430	NA
AT3G62440	AT3G62440	SAF1:secondary wall thickening-associated F-box 1
AT3G62450	AT3G62450	NA
AT3G62460	AT3G62460	NA
AT3G62470	AT3G62470	NA
AT3G62499	AT3G62499	NA
AT3G62500	AT3G62500	NA
AT3G62510	AT3G62510	NA
AT3G62528	AT3G62528	NA
AT3G62530	AT3G62530	NA
AT3G62540	AT3G62540	NA
AT3G62550	AT3G62550	NA
AT3G62560	AT3G62560	NA
AT3G62570	AT3G62570	NA
AT3G62580	AT3G62580	NA
AT3G62590	AT3G62590	NA
AT3G62600	AT3G62600:ERDJ3B	ATERDJ3B;ERDJ3B
AT3G62610	AT3G62610:ATMYB11	ATMYB11:myb domain protein 11;MYB11:myb domain protein 11;PFG2:PRODUCTION OF FLAVONOL GLYCOSIDES 2
AT3G62620	AT3G62620	NA
AT3G62630	AT3G62630	NA
AT3G62640	AT3G62640	NA
AT3G62650	AT3G62650	NA
AT3G62660	AT3G62660:GATL7	GATL7:galacturonosyltransferase-like 7
AT3G62670	AT3G62670:ARR20	ARR20:response regulator 20;MEE41:maternal effect embryo arrest 41;RR20:response regulator 20
AT3G62680	AT3G62680:PRP3	ATPRP3:ARABIDOPSIS THALIANA PROLINE-RICH PROTEIN 3;PRP3:proline-rich protein 3
AT3G62690	AT3G62690:ATL5	ATL5:AtL5
AT3G62700	AT3G62700:ABCC14	ABCC14:ATP-binding cassette C14;ATMRP10:multidrug resistance-associated protein 10;MRP10:multidrug resistance-associated protein 10
AT3G62710	AT3G62710	NA
AT3G62720	AT3G62720:XXT1	ATXT1;XT1:xylosyltransferase 1;XXT1:XYG XYLOSYLTRANSFERASE 1
AT3G62730	AT3G62730	NA
AT3G62740	AT3G62740:BGLU7	BGLU7:beta glucosidase 7
AT3G62750	AT3G62750:BGLU8	BGLU8:beta glucosidase 8
AT3G62760	AT3G62760:GSTF13	ATGSTF13
AT3G62770	AT3G62770:ATG18A	AtATG18a:autophagy 18a;ATG18a:autophagy 18a
AT3G62780	AT3G62780	NA
AT3G62790	AT3G62790	NA
AT3G62800	AT3G62800:DBR4	ATTIF3K1;DRB4:double-stranded-RNA-binding protein 4
AT3G62810	AT3G62810	NA
AT3G62820	AT3G62820	NA
AT3G62830	AT3G62830:UXS2	ATUXS2;AUD1;UXS2:UDP-GLUCURONIC ACID DECARBOXYLASE 2
AT3G62840	AT3G62840	NA
AT3G62850	AT3G62850	NA
AT3G62860	AT3G62860	NA
AT3G62870	AT3G62870:RPL7AB	NA
AT3G62880	AT3G62880:OEP164	ATOEP16-4
AT3G62890	AT3G62890:PCMP-H82	NA
AT3G62900	AT3G62900	NA
AT3G62907	AT3G62907	NA
AT3G62910	AT3G62910:APG3	APG3:ALBINO AND PALE GREEN;AtcpRF1:Arabidopsis thaliana chloroplast RF1;cpRF1:chloroplast ribosome release factor 1
AT3G62920	AT3G62920	NA
AT3G62930	AT3G62930:GRXS6	NA
AT3G62940	AT3G62940	NA
AT3G62950	AT3G62950:GRXC11	NA
AT3G62960	AT3G62960:GRXC14	NA
AT3G62970	AT3G62970	NA
AT3G62980	AT3G62980:TIR1	AtTIR1;TIR1:TRANSPORT INHIBITOR RESPONSE 1
AT3G62988	AT3G62988	NA
AT3G62990	AT3G62990	NA
AT3G63000	AT3G63000:NPL41	NPL41:NPL4-like protein 1
AT3G63010	AT3G63010:GID1B	ATGID1B;GID1B:GA INSENSITIVE DWARF1B
AT3G63020	AT3G63020	NA
AT3G63030	AT3G63030:MBD4	MBD4:methyl-CPG-binding domain 4
AT3G63040	AT3G63040	NA
AT3G63050	AT3G63050	NA
AT3G63052	AT3G63052	NA
AT3G63060	AT3G63060:EDL3	EDL3:EID1-like 3
AT3G63070	AT3G63070	NA
AT3G63080	AT3G63080:GPX5	ATGPX5:glutathione peroxidase 5;GPX5:glutathione peroxidase 5;MEE42:maternal effect embryo arrest 42
AT3G63088	AT3G63088:RTFL14	DVL14:DEVIL 14;RTFL14:ROTUNDIFOLIA like 14
AT3G63090	AT3G63090	NA
AT3G63095	AT3G63095	NA
AT3G63110	AT3G63110:IPT3	ATIPT3:isopentenyltransferase 3;IPT3:isopentenyltransferase 3
AT3G63120	AT3G63120:CYCU3-1	CYCP1;1:cyclin p1;1
AT3G63130	AT3G63130:RANGAP1	ATRANGAP1:RAN GTPASE-ACTIVATING PROTEIN 1;RANGAP1:RAN GTPase activating protein 1
AT3G63140	AT3G63140:CSP41A	CSP41A:chloroplast stem-loop binding protein of  41 kDa
AT3G63150	AT3G63150:MIRO2	ATCBG:CALCIUM BINDING GTP-ASE;MIRO2:MIRO-related GTP-ase 2
AT3G63160	AT3G63160	OEP6:outer envelope protein 6
AT3G63170	AT3G63170:FAP1	AtFAP1;FAP1:fatty-acid-binding protein 1
AT3G63180	AT3G63180:ATTKL	ATTKL:TICKLE;TKL:TIC-like
AT3G63190	AT3G63190:RRF	"AtcpRRF:Arabidopsis thaliana chloroplast ribosome recycling factor;cpRRF:chloroplast ribosome recycling factor;HFP108:HIGH CHLOROPHYLL FLUORESCENCE AND PALE GREEN MUTANT 108;RRF:""ribosome recycling factor, chloroplast precursor"""
AT3G63200	AT3G63200:PLP9	PLA IIIB;PLP9:PATATIN-like protein 9
AT3G63210	AT3G63210:MARD1	MARD1:MEDIATOR OF ABA-REGULATED DORMANCY 1
AT3G63220	AT3G63220:SKIP30	NA
AT3G63230	AT3G63230	NA
AT3G63233	AT3G63233	NA
AT3G63240	AT3G63240	NA
AT3G63250	AT3G63250:HMT-2	ATHMT-2:HOMOCYSTEINE METHYLTRANSFERASE-2;HMT-2:HOMOCYSTEINE METHYLTRANSFERASE-2;HMT2:homocysteine methyltransferase 2
AT3G63260	AT3G63260:ATMRK1	ATMRK1
AT3G63270	AT3G63270	NA
AT3G63280	AT3G63280:NEK4	ATNEK4:NIMA-related kinase 4;NEK4:NIMA-related kinase 4
AT3G63290	AT3G63290	NA
AT3G63300	AT3G63300:FKD1	FKD1:FORKED 1
AT3G63310	AT3G63310:BIL4	AtLFG2;BIL4:BRZ-INSENSITIVE-LONG HYPOCOTYLS 4;LFG2:LIFEGUARD 2
AT3G63320	AT3G63320	NA
AT3G63340	AT3G63340	NA
AT3G63350	AT3G63350:HSFA7B	AT-HSFA7B;HSFA7B:HEAT SHOCK TRANSCRIPTION FACTOR  A7B
AT3G63360	AT3G63360	NA
AT3G63370	AT3G63370:OTP86	OTP86:ORGANELLE TRANSCRIPT PROCESSING 86
AT3G63380	AT3G63380:ACA12	NA
AT3G63390	AT3G63390	NA
AT3G63400	AT3G63400:CYP63	NA
AT3G63410	AT3G63410:VTE3	APG1:ALBINO OR PALE GREEN MUTANT 1;E37;IEP37:INNER ENVELOPE PROTEIN 37;VTE3:VITAMIN E DEFECTIVE 3
AT3G63420	AT3G63420:GG1	AGG1:Ggamma-subunit 1;ATAGG1;GG1:Ggamma-subunit 1
AT3G63430	AT3G63430	TRM5:TON1 Recruiting Motif 5
AT3G63440	AT3G63440:CKX6	ATCKX6:CYTOKININ OXIDASE 6;ATCKX7;CKX6:cytokinin oxidase/dehydrogenase 6
AT3G63450	AT3G63450	NA
AT3G63460	AT3G63460:SEC31B	NA
AT3G63470	AT3G63470:SCPL40	scpl40:serine carboxypeptidase-like 40
AT3G63480	AT3G63480	NA
AT3G63490	AT3G63490:RPL1	EMB3126:EMBRYO DEFECTIVE 3126;PRPL1:plastid ribosomal protein L1
AT3G63500	AT3G63500:OBE4	TTA2:TITANIA 2
AT3G63510	AT3G63510	NA
AT3G63520	AT3G63520:CCD1	ATCCD1:CAROTENOID CLEAVAGE DIOXYGENASE 1;ATNCED1;CCD1:carotenoid cleavage dioxygenase 1;NCED1
AT3G63530	AT3G63530:BB	BB:BIG BROTHER;BB2
AT3G63540	AT3G63540	NA
AT4G00005	AT4G00005	NA
AT4G00020	AT4G00020:BRCA2A	BRCA2(IV):BREAST CANCER 2 like 2A;BRCA2A;EDA20:EMBRYO SAC DEVELOPMENT ARREST 20;MEE43:MATERNAL EFFECT EMBRYO ARREST 43
AT4G00026	AT4G00026:TIM21	SD3:SEGREGATION DISTORTION 3
AT4G00030	AT4G00030:PAP11	NA
AT4G00040	AT4G00040	NA
AT4G00050	AT4G00050:UNE10	UNE10:unfertilized embryo sac 10
AT4G00060	AT4G00060:MEE44	MEE44:maternal effect embryo arrest 44
AT4G00070	AT4G00070	NA
AT4G00080	AT4G00080:UNE11	UNE11:unfertilized embryo sac 11
AT4G00090	AT4G00090	NA
AT4G00100	AT4G00100:RPS13B	ATRPS13A:ribosomal protein S13A;PFL2:POINTED FIRST LEAF 2;RPS13;RPS13A:ribosomal protein S13A
AT4G00110	AT4G00110:GAE3	GAE3:UDP-D-glucuronate 4-epimerase 3
AT4G00120	AT4G00120:IND	EDA33:EMBRYO SAC DEVELOPMENT ARREST 33;GT140;IND:INDEHISCENT;IND1:INDEHISCENT
AT4G00124	AT4G00124	NA
AT4G00130	AT4G00130	NA
AT4G00140	AT4G00140:EDA34	EDA34:embryo sac development arrest 34
AT4G00150	AT4G00150:SCL6	ATHAM3:ARABIDOPSIS THALIANA HAIRY MERISTEM 3;HAM3:HAIRY MERISTEM 3;LOM3:LOST MERISTEMS 3;SCL6-IV
AT4G00160	AT4G00160	NA
AT4G00165	AT4G00165	NA
AT4G00170	AT4G00170:PVA13	NA
AT4G00180	AT4G00180:YAB3	YAB3:YABBY3
AT4G00190	AT4G00190:PME38	ATPME38:A. THALIANA PECTIN METHYLESTERASE 38;PME38:pectin methylesterase 38
AT4G00200	AT4G00200:AHL7	NA
AT4G00210	AT4G00210:LBD31	LBD31:LOB domain-containing protein 31
AT4G00220	AT4G00220:LBD30	JLO:JAGGED LATERAL ORGANS;LBD30:LOB DOMAIN-CONTAINING PROTEIN 30
AT4G00230	AT4G00230:SBT4.14	XSP1:xylem serine peptidase 1
AT4G00231	AT4G00231:MEE50	MEE50:maternal effect embryo arrest 50
AT4G00232	AT4G00232	NA
AT4G00234	AT4G00234	NA
AT4G00238	AT4G00238	NA
AT4G00240	AT4G00240:PLDBETA2	PLDBETA2:phospholipase D beta 2
AT4G00250	AT4G00250	NA
AT4G00260	AT4G00260:REM15.15	MEE45:maternal effect embryo arrest 45
AT4G00270	AT4G00270	NA
AT4G00280	AT4G00280	NA
AT4G00290	AT4G00290:MSL1	NA
AT4G00300	AT4G00300	NA
AT4G00305	AT4G00305	NA
AT4G00310	AT4G00310:MEE46	EDA8:EMBRYO SAC DEVELOPMENT ARREST 8;MEE46:MATERNAL EFFECT EMBRYO ARREST 46
AT4G00315	AT4G00315	NA
AT4G00320	AT4G00320	NA
AT4G00330	AT4G00330:CRCK2	CRCK2:calmodulin-binding receptor-like cytoplasmic kinase 2
AT4G00335	AT4G00335:RHB1A	RHB1A:RING-H2 finger B1A
AT4G00340	AT4G00340:RLK4	RLK4:receptor-like protein kinase 4
AT4G00342	AT4G00342	NA
AT4G00350	AT4G00350	NA
AT4G00355	AT4G00355	ATI2:ATG8-interacting protein 2
AT4G00360	AT4G00360:CYP86A2	"ATT1:ABERRANT INDUCTION OF TYPE THREE 1;CYP86A2:""cytochrome P450, family 86, subfamily A, polypeptide 2"""
AT4G00370	AT4G00370:PHT4%3B4	ANTR2;PHT4;4:anion transporter 2
AT4G00380	AT4G00380:FDM2	FDM2:factor of DNA methylation 2;IDP2:IDN2 PARALOG 2;INDL2:INVOLVED IN DE NOVO 2 (IDN2) - LIKE 2
AT4G00390	AT4G00390	NA
AT4G00400	AT4G00400:GPAT8	AtGPAT8:GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 8;GPAT8:GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 8
AT4G00416	AT4G00416:MBD3	MBD3:methyl-CPG-binding domain 3
AT4G00420	AT4G00420	NA
AT4G00430	AT4G00430:PIP1.4	PIP1;4:plasma membrane intrinsic protein 1;4;PIP1E:PLASMA MEMBRANE INTRINSIC PROTEIN 1E;TMP-C:TRANSMEMBRANE PROTEIN C
AT4G00440	AT4G00440	TRM15:TON1 Recruiting Motif 15
AT4G00450	AT4G00450:CRP	CCT:CENTER CITY;CRP:CRYPTIC PRECOCIOUS;MED12:mediator 12
AT4G00460	AT4G00460:ROPGEF3	ATROPGEF3;ROPGEF3:ROP (rho of plants) guanine nucleotide exchange factor 3
AT4G00467	AT4G00467	NA
AT4G00480	AT4G00480:BHLH12	ATMYC1;myc1
AT4G00490	AT4G00490:BAM2	BAM2:beta-amylase 2;BMY9:BETA-AMYLASE 9
AT4G00500	AT4G00500	NA
AT4G00520	AT4G00520	NA
AT4G00525	AT4G00525	NA
AT4G00530	AT4G00530	NA
AT4G00540	AT4G00540:ATMYB3R2	ATMYB3R2:myb domain protein 3r2;MYB3R-2:MYB DOMAIN PROTEIN 3R2;MYB3R2:myb domain protein 3r2;PC-MYB2:C-MYB-LIKE TRANSCRIPTION FACTOR 3R-2
AT4G00550	AT4G00550:DGD2	DGD2:digalactosyl diacylglycerol deficient 2
AT4G00560	AT4G00560	NA
AT4G00570	AT4G00570:NAD-ME2	NAD-ME2:NAD-dependent malic enzyme 2
AT4G00580	AT4G00580	NA
AT4G00585	AT4G00585	NA
AT4G00590	AT4G00590	NA
AT4G00600	AT4G00600:FOLD3	NA
AT4G00610	AT4G00610	NA
AT4G00620	AT4G00620:FOLD4	EMB3127:EMBRYO DEFECTIVE 3127
AT4G00630	AT4G00630:KEA2	ATKEA2;KEA2:K+ efflux antiporter 2
AT4G00650	AT4G00650:FRI	FLA:FLOWERING LOCUS A;FRI:FRIGIDA;RSB7:REDUCED STEM BRANCHING 7
AT4G00651	AT4G00651	NA
AT4G00660	AT4G00660:RH8	ATRH8;RH8:RNAhelicase-like 8
AT4G00670	AT4G00670	NA
AT4G00680	AT4G00680:ADF8	ADF8:actin depolymerizing factor 8
AT4G00690	AT4G00690:ULP1B	ULP1B:UB-like protease 1B
AT4G00695	AT4G00695	NA
AT4G00700	AT4G00700	NA
AT4G00710	AT4G00710:BSK3	BSK3:brassinosteroid-signaling kinase 3
AT4G00720	AT4G00720:ASK8	ASKTHETA:SHAGGY-LIKE PROTEIN KINASE THETA;ATSK32:shaggy-like protein kinase 32;SK32:shaggy-like protein kinase 32
AT4G00730	AT4G00730:ANL2	AHDP:ARABIDOPSIS THALIANA HOMEODOMAIN PROTEIN;ANL2:ANTHOCYANINLESS 2
AT4G00740	AT4G00740	QUA3:QUASIMODO 3
AT4G00750	AT4G00750	NA
AT4G00752	AT4G00752:PUX9	NA
AT4G00755	AT4G00755	NA
AT4G00760	AT4G00760:APRR8	APRR8:pseudo-response regulator 8;PRR8:PSEUDO-RESPONSE REGULATOR 8
AT4G00770	AT4G00770	TRM9:TON1 Recruiting Motif 9
AT4G00780	AT4G00780	NA
AT4G00800	AT4G00800	SETH5
AT4G00810	AT4G00810:RPP1B	NA
AT4G00820	AT4G00820:iqd17	iqd17:IQ-domain 17
AT4G00830	AT4G00830	LIF2:LHP1-Interacting Factor 2
AT4G00840	AT4G00840:PAT12	NA
AT4G00850	AT4G00850:GIF3	GIF3:GRF1-interacting factor 3
AT4G00860	AT4G00860:ATOZI1	AT0ZI1:Arabidopsis thaliana ozone-induced protein 1;ATOZI1
AT4G00870	AT4G00870:BHLH14	NA
AT4G00872	AT4G00872	NA
AT4G00880	AT4G00880	NA
AT4G00890	AT4G00890	NA
AT4G00893	AT4G00893	NA
AT4G00895	AT4G00895	NA
